sent_id,item_id,verb,sentence_type,np_order,target,option_1,option_2,answer_option,prompt_1,prompt_2,prompt,answer,raw_probs
1,1,scold,IC,high_sg,Anna scolded the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.6327081, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.6327081), TopLogprob(token='1', bytes=[49], logprob=-0.7577081), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-9.757708), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.007708), TopLogprob(token='Were', bytes=[87, 101, 114, 101], logprob=-13.632708)])]"
2,1,study,nonIC,high_sg,Anna studied with the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.005954395, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.005954395), TopLogprob(token='1', bytes=[49], logprob=-5.1309543), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.130955), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.505955), TopLogprob(token='Was', bytes=[87, 97, 115], logprob=-14.255955)])]"
3,2,stare,IC,high_sg,John stared at the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ",2) was.,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.011073411, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.011073411), TopLogprob(token='1', bytes=[49], logprob=-4.5110736), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-11.386073), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.386073), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-13.386073)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.3875278, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.3875278), TopLogprob(token='<|end|>', bytes=None, logprob=-1.1375278), TopLogprob(token='.', bytes=[46], logprob=-7.387528), TopLogprob(token='<|end|>', bytes=None, logprob=-11.137527), TopLogprob(token=').', bytes=[41, 46], logprob=-11.887527)]), ChatCompletionTokenLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-2.577686e-06, top_logprobs=[TopLogprob(token=' was', bytes=[32, 119, 97, 115], logprob=-2.577686e-06), TopLogprob(token=' Was', bytes=[32, 87, 97, 115], logprob=-13.000003), TopLogprob(token=' ', bytes=[32], logprob=-15.500003), TopLogprob(token=' The', bytes=[32, 84, 104, 101], logprob=-19.375002), TopLogprob(token='<|end|>', bytes=None, logprob=-19.625002)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.004079232, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.004079232), TopLogprob(token='<|end|>', bytes=None, logprob=-5.5040793), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-15.254079), TopLogprob(token='.\n', bytes=[46, 10], logprob=-15.504079), TopLogprob(token='.""', bytes=[46, 34], logprob=-15.754079)])]"
4,2,live,nonIC,high_sg,John lived next to the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.16083248, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.16083248), TopLogprob(token='2', bytes=[50], logprob=-1.9108325), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-7.9108324), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-8.535832), TopLogprob(token='was', bytes=[119, 97, 115], logprob=-11.660832)])]"
5,3,assist,IC,high_sg,Jenny assisted the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","1) was, 2) were","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.5761458, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.5761458), TopLogprob(token='2', bytes=[50], logprob=-0.8261458), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-8.701146), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.951146), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.451146)])]"
6,3,joke,nonIC,high_sg,Jenny joked with the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.08896182, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.08896182), TopLogprob(token='2', bytes=[50], logprob=-2.4639618), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.088962), TopLogprob(token='were', bytes=[119, 101, 114, 101], logprob=-12.588962), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-13.963962)])]"
7,4,trust,IC,high_sg,Nick trusted the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ",2) has.,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.029903447, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.029903447), TopLogprob(token='1', bytes=[49], logprob=-3.5299034), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-9.404903), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.779903), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.529903)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.6952978, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.6952978), TopLogprob(token='<|end|>', bytes=None, logprob=-0.6952978), TopLogprob(token='.', bytes=[46], logprob=-6.1952977), TopLogprob(token='<|end|>', bytes=None, logprob=-9.695298), TopLogprob(token=').', bytes=[41, 46], logprob=-10.945298)]), ChatCompletionTokenLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-7.89631e-07, top_logprobs=[TopLogprob(token=' has', bytes=[32, 104, 97, 115], logprob=-7.89631e-07), TopLogprob(token=' Has', bytes=[32, 72, 97, 115], logprob=-14.750001), TopLogprob(token='\thas', bytes=[9, 104, 97, 115], logprob=-15.500001), TopLogprob(token=' ', bytes=[32], logprob=-16.25), TopLogprob(token='has', bytes=[104, 97, 115], logprob=-17.5)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0019293479, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0019293479), TopLogprob(token='<|end|>', bytes=None, logprob=-6.2519293), TopLogprob(token='.""', bytes=[46, 34], logprob=-15.001929), TopLogprob(token='.\n', bytes=[46, 10], logprob=-15.501929), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-15.751929)])]"
8,4,stand,nonIC,high_sg,Nick stood near the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.023283565, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.023283565), TopLogprob(token='1', bytes=[49], logprob=-3.7732835), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.773284), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.398284), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-12.148284)])]"
9,5,correct,IC,high_sg,Angela corrected the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","1) has, 2) have","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ",2) have.,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.029790299, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.029790299), TopLogprob(token='1', bytes=[49], logprob=-3.5297904), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-10.90479), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-11.40479), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-11.77979)]), ChatCompletionTokenLogprob(token=')', bytes=[41], logprob=-0.47743428, top_logprobs=[TopLogprob(token=')', bytes=[41], logprob=-0.47743428), TopLogprob(token='<|end|>', bytes=None, logprob=-0.9774343), TopLogprob(token='.', bytes=[46], logprob=-5.727434), TopLogprob(token='<|end|>', bytes=None, logprob=-10.227434), TopLogprob(token=').', bytes=[41, 46], logprob=-10.477434)]), ChatCompletionTokenLogprob(token=' have', bytes=[32, 104, 97, 118, 101], logprob=-2.3392786e-06, top_logprobs=[TopLogprob(token=' have', bytes=[32, 104, 97, 118, 101], logprob=-2.3392786e-06), TopLogprob(token=' ', bytes=[32], logprob=-13.250002), TopLogprob(token=' Have', bytes=[32, 72, 97, 118, 101], logprob=-15.000002), TopLogprob(token='<|end|>', bytes=None, logprob=-15.750002), TopLogprob(token=' haben', bytes=[32, 104, 97, 98, 101, 110], logprob=-18.000002)]), ChatCompletionTokenLogprob(token='.', bytes=[46], logprob=-0.0031781907, top_logprobs=[TopLogprob(token='.', bytes=[46], logprob=-0.0031781907), TopLogprob(token='<|end|>', bytes=None, logprob=-5.753178), TopLogprob(token='.\n\n', bytes=[46, 10, 10], logprob=-15.753179), TopLogprob(token='.""', bytes=[46, 34], logprob=-16.003178), TopLogprob(token='.\n', bytes=[46, 10], logprob=-16.253178)])]"
10,5,gossip,nonIC,high_sg,Angela gossiped with the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.062058322, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.062058322), TopLogprob(token='1', bytes=[49], logprob=-2.8120582), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-9.687058), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-10.812058), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-12.062058)])]"
