sent_id,item_id,verb,sentence_type,np_order,target,option,alt_option,prompt,alt_prompt,answer_option,answer,raw_probs
1,1,scold,IC,high_sg,Anna scolded the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna scolded the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.23734179, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.23734179), TopLogprob(token='1', bytes=[49], logprob=-1.5545796), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.305346), TopLogprob(token='(', bytes=[40], logprob=-19.365673), TopLogprob(token=' ', bytes=[32], logprob=-19.746243)])]"
2,1,study,nonIC,high_sg,Anna studied with the chef of the aristocrats who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Anna studied with the chef of the aristocrats who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-8.061054e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-8.061054e-06), TopLogprob(token='2', bytes=[50], logprob=-11.816845), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-14.666584), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-16.653934), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.247192)])]"
3,2,stare,IC,high_sg,John stared at the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John stared at the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.3859602, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.3859602), TopLogprob(token='1', bytes=[49], logprob=-1.1388022), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.658419), TopLogprob(token='(', bytes=[40], logprob=-18.792854), TopLogprob(token='Two', bytes=[84, 119, 111], logprob=-19.648342)])]"
4,2,live,nonIC,high_sg,John lived next to the teacher of the second graders who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) was, 2) were. Answer: ","Sentence: John lived next to the teacher of the second graders who ___ . Options: 1) were, 2) was. Answer: ","1) was, 2) were",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.9361265e-07, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.9361265e-07), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.255457), TopLogprob(token='2', bytes=[50], logprob=-17.189787), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.886417), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-17.89351)])]"
5,3,assist,IC,high_sg,Jenny assisted the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny assisted the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-1.7432603e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-1.7432603e-06), TopLogprob(token='2', bytes=[50], logprob=-13.494379), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.294979), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-17.68983), TopLogprob(token='Since', bytes=[83, 105, 110, 99, 101], logprob=-17.76819)])]"
6,3,joke,nonIC,high_sg,Jenny joked with the maid of the executives who ___ .,"1) was, 2) were","1) were, 2) was","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) was, 2) were. Answer: ","Sentence: Jenny joked with the maid of the executives who ___ . Options: 1) were, 2) was. Answer: ","1) were, 2) was",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-4.9617593e-06, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-4.9617593e-06), TopLogprob(token='2', bytes=[50], logprob=-12.249864), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.689515), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.174526), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.65742)])]"
7,4,trust,IC,high_sg,Nick trusted the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick trusted the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.0021891606, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.0021891606), TopLogprob(token='1', bytes=[49], logprob=-6.1253676), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.198307), TopLogprob(token='(', bytes=[40], logprob=-19.79572), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-20.012844)])]"
8,4,stand,nonIC,high_sg,Nick stood near the captain of the sailors who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Nick stood near the captain of the sailors who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.00021069261, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.00021069261), TopLogprob(token='1', bytes=[49], logprob=-8.466718), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-15.200547), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-18.733025), TopLogprob(token='Answer', bytes=[65, 110, 115, 119, 101, 114], logprob=-18.938522)])]"
9,5,correct,IC,high_sg,Angela corrected the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela corrected the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) has, 2) have",2,"[ChatCompletionTokenLogprob(token='2', bytes=[50], logprob=-0.010498726, top_logprobs=[TopLogprob(token='2', bytes=[50], logprob=-0.010498726), TopLogprob(token='1', bytes=[49], logprob=-4.561768), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-16.261513), TopLogprob(token='(', bytes=[40], logprob=-19.255262), TopLogprob(token=' ', bytes=[32], logprob=-19.82719)])]"
10,5,gossip,nonIC,high_sg,Angela gossiped with the secretary of the lawyers who ___ .,"1) has, 2) have","1) have, 2) has","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) has, 2) have. Answer: ","Sentence: Angela gossiped with the secretary of the lawyers who ___ . Options: 1) have, 2) has. Answer: ","1) have, 2) has",1,"[ChatCompletionTokenLogprob(token='1', bytes=[49], logprob=-0.010886524, top_logprobs=[TopLogprob(token='1', bytes=[49], logprob=-0.010886524), TopLogprob(token='2', bytes=[50], logprob=-4.5256724), TopLogprob(token='The', bytes=[84, 104, 101], logprob=-17.27782), TopLogprob(token='(', bytes=[40], logprob=-20.120983), TopLogprob(token='Option', bytes=[79, 112, 116, 105, 111, 110], logprob=-20.386887)])]"
