sent_id,item_id,verb,sentence_type,attachment,plurality,sentence,critical_token,critical_prob,logprob
1,1,scold,IC,high,sg,Anna scolded the chef of the aristocrats who was, was,-3.7580883502960205,"[('Anna', -10.068658828735352), (' sc', -12.380180358886719), ('old', -7.505743980407715), ('ed', -0.05056997388601303), (' the', -3.160870313644409), (' chef', -6.748734951019287), (' of', -3.819395065307617), (' the', -0.5487345457077026), (' arist', -8.911888122558594), ('ocrats', -2.6980104446411133), (' who', -2.641296625137329), (' was', -3.7580883502960205)]"
2,1,study,nonIC,high,sg,Anna studied with the chef of the aristocrats who was, was,-6.066812038421631,"[('Anna', -10.068658828735352), (' studied', -7.190498352050781), (' with', -5.3605265617370605), (' the', -1.8323109149932861), (' chef', -9.626628875732422), (' of', -2.7694177627563477), (' the', -0.8676579594612122), (' arist', -10.208072662353516), ('ocrats', -3.8790154457092285), (' who', -4.727792263031006), (' was', -6.066812038421631)]"
3,1,scold,IC,low,pl,Anna scolded the chef of the aristocrats who were, were,-2.356860399246216,"[('Anna', -10.068658828735352), (' sc', -12.380180358886719), ('old', -7.505743980407715), ('ed', -0.05056997388601303), (' the', -3.160870313644409), (' chef', -6.748734951019287), (' of', -3.819395065307617), (' the', -0.5487345457077026), (' arist', -8.911888122558594), ('ocrats', -2.6980104446411133), (' who', -2.641296625137329), (' were', -2.356860399246216)]"
4,1,study,nonIC,low,pl,Anna studied with the chef of the aristocrats who were, were,-2.9194693565368652,"[('Anna', -10.068658828735352), (' studied', -7.190498352050781), (' with', -5.3605265617370605), (' the', -1.8323109149932861), (' chef', -9.626628875732422), (' of', -2.7694177627563477), (' the', -0.8676579594612122), (' arist', -10.208072662353516), ('ocrats', -3.8790154457092285), (' who', -4.727792263031006), (' were', -2.9194693565368652)]"
5,2,stare,IC,high,sg,John stared at the teacher of the second graders who was, was,-0.8611562252044678,"[('John', -7.889672756195068), (' stared', -11.893251419067383), (' at', -0.5768428444862366), (' the', -0.4854927062988281), (' teacher', -8.967260360717773), (' of', -5.482900142669678), (' the', -1.0721951723098755), (' second', -6.014945030212402), (' grad', -4.044083595275879), ('ers', -0.009360002353787422), (' who', -2.637669086456299), (' was', -0.8611562252044678)]"
6,2,live,nonIC,high,sg,John lived next to the teacher of the second graders who was, was,-1.4462918043136597,"[('John', -7.889672756195068), (' lived', -11.289875030517578), (' next', -4.7812347412109375), (' to', -1.5050965547561646), (' the', -1.6066197156906128), (' teacher', -8.447361946105957), (' of', -3.0649402141571045), (' the', -1.275857925415039), (' second', -5.186646938323975), (' grad', -2.8673758506774902), ('ers', -0.0050490968860685825), (' who', -3.3021700382232666), (' was', -1.4462918043136597)]"
7,2,stare,IC,low,pl,John stared at the teacher of the second graders who were, were,-2.912841558456421,"[('John', -7.889672756195068), (' stared', -11.893251419067383), (' at', -0.5768428444862366), (' the', -0.4854927062988281), (' teacher', -8.967260360717773), (' of', -5.482900142669678), (' the', -1.0721951723098755), (' second', -6.014945030212402), (' grad', -4.044083595275879), ('ers', -0.009360002353787422), (' who', -2.637669086456299), (' were', -2.912841558456421)]"
8,2,live,nonIC,low,pl,John lived next to the teacher of the second graders who were, were,-2.569859504699707,"[('John', -7.889672756195068), (' lived', -11.289875030517578), (' next', -4.7812347412109375), (' to', -1.5050965547561646), (' the', -1.6066197156906128), (' teacher', -8.447361946105957), (' of', -3.0649402141571045), (' the', -1.275857925415039), (' second', -5.186646938323975), (' grad', -2.8673758506774902), ('ers', -0.0050490968860685825), (' who', -3.3021700382232666), (' were', -2.569859504699707)]"
9,3,assist,IC,high,sg,Jenny assisted the maid of the executives who was, was,-3.252730369567871,"[('J', -6.658449649810791), ('enny', -4.616943359375), (' assisted', -12.1974515914917), (' the', -1.9893341064453125), (' maid', -11.923660278320312), (' of', -0.6995494961738586), (' the', -4.844104766845703), (' executives', -11.651504516601562), (' who', -3.698483943939209), (' was', -3.252730369567871)]"
10,3,joke,nonIC,high,sg,Jenny joked with the maid of the executives who was, was,-4.548136234283447,"[('J', -6.658449649810791), ('enny', -4.616943359375), (' joked', -13.422523498535156), (' with', -2.4162235260009766), (' the', -2.0464134216308594), (' maid', -8.93535327911377), (' of', -3.7874367237091064), (' the', -3.03732967376709), (' executives', -12.442456245422363), (' who', -2.696831464767456), (' was', -4.548136234283447)]"
11,3,assist,IC,low,pl,Jenny assisted the maid of the executives who were, were,-1.7931853532791138,"[('J', -6.658449649810791), ('enny', -4.616943359375), (' assisted', -12.1974515914917), (' the', -1.9893341064453125), (' maid', -11.923660278320312), (' of', -0.6995494961738586), (' the', -4.844104766845703), (' executives', -11.651504516601562), (' who', -3.698483943939209), (' were', -1.7931853532791138)]"
12,3,joke,nonIC,low,pl,Jenny joked with the maid of the executives who were, were,-1.6528571844100952,"[('J', -6.658449649810791), ('enny', -4.616943359375), (' joked', -13.422523498535156), (' with', -2.4162235260009766), (' the', -2.0464134216308594), (' maid', -8.93535327911377), (' of', -3.7874367237091064), (' the', -3.03732967376709), (' executives', -12.442456245422363), (' who', -2.696831464767456), (' were', -1.6528571844100952)]"
13,4,trust,IC,high,sg,Nick trusted the captain of the sailors who has, has,-7.019559860229492,"[('Nick', -9.632013320922852), (' trusted', -14.268987655639648), (' the', -2.2127721309661865), (' captain', -7.057305335998535), (' of', -2.1435372829437256), (' the', -0.39836448431015015), (' sailors', -9.383899688720703), (' who', -3.1050524711608887), (' has', -7.019559860229492)]"
