sent_id,item_id,verb,sentence_type,continuation_type,main_sentence,sentence,critical_token,critical_prob,logprob
1,1,scold,IC,exp,Anna scolded the chef who was routinely letting food go to waste,"Anna scolded the chef who was routinely letting food go to waste, because", because,-3.9296579360961914,"[('Anna', -10.068658828735352), (' sc', -12.380180358886719), ('old', -7.505743980407715), ('ed', -0.05056997388601303), (' the', -3.160870313644409), (' chef', -6.748734951019287), (' who', -3.2664833068847656), (' was', -2.455188512802124), (' routinely', -11.442463874816895), (' letting', -5.509140491485596), (' food', -4.140841960906982), (' go', -1.088517665863037), (' to', -0.3375604450702667), (' waste', -0.012757238931953907), (',', -2.2204689979553223), (' because', -3.9296579360961914)]"
2,1,study,nonIC,exp,Anna studied with the chef who was routinely letting food go to waste,"Anna studied with the chef who was routinely letting food go to waste, because", because,-5.185383319854736,"[('Anna', -10.068658828735352), (' studied', -7.190498352050781), (' with', -5.3605265617370605), (' the', -1.8323109149932861), (' chef', -9.626628875732422), (' who', -4.573334693908691), (' was', -2.8005218505859375), (' routinely', -12.63737964630127), (' letting', -10.536373138427734), (' food', -4.753254413604736), (' go', -1.0956954956054688), (' to', -0.23095238208770752), (' waste', -0.011778335087001324), (',', -1.8599004745483398), (' because', -5.185383319854736)]"
3,1,scold,IC,nonexp,Anna scolded the chef who was routinely letting food go to waste,"Anna scolded the chef who was routinely letting food go to waste, and", and,-1.1965495347976685,"[('Anna', -10.068658828735352), (' sc', -12.380180358886719), ('old', -7.505743980407715), ('ed', -0.05056997388601303), (' the', -3.160870313644409), (' chef', -6.748734951019287), (' who', -3.2664833068847656), (' was', -2.455188512802124), (' routinely', -11.442463874816895), (' letting', -5.509140491485596), (' food', -4.140841960906982), (' go', -1.088517665863037), (' to', -0.3375604450702667), (' waste', -0.012757238931953907), (',', -2.2204689979553223), (' and', -1.1965495347976685)]"
4,1,study,nonIC,nonexp,Anna studied with the chef who was routinely letting food go to waste,"Anna studied with the chef who was routinely letting food go to waste, and", and,-0.985460638999939,"[('Anna', -10.068658828735352), (' studied', -7.190498352050781), (' with', -5.3605265617370605), (' the', -1.8323109149932861), (' chef', -9.626628875732422), (' who', -4.573334693908691), (' was', -2.8005218505859375), (' routinely', -12.63737964630127), (' letting', -10.536373138427734), (' food', -4.753254413604736), (' go', -1.0956954956054688), (' to', -0.23095238208770752), (' waste', -0.011778335087001324), (',', -1.8599004745483398), (' and', -0.985460638999939)]"
5,2,stare,IC,exp,John stared at the teacher who was definitely the smartest in the school,"John stared at the teacher who was definitely the smartest in the school, because", because,-4.674075603485107,"[('John', -7.889672756195068), (' stared', -11.893251419067383), (' at', -0.5768428444862366), (' the', -0.4854927062988281), (' teacher', -8.967260360717773), (' who', -2.8586935997009277), (' was', -1.0329402685165405), (' definitely', -9.917823791503906), (' the', -2.9168777465820312), (' smart', -3.843080520629883), ('est', -0.027082987129688263), (' in', -2.191784620285034), (' the', -0.3376246392726898), (' school', -3.2423653602600098), (',', -1.9725337028503418), (' because', -4.674075603485107)]"
6,2,live,nonIC,exp,John lived next to the teacher who was definitely the smartest in the school,"John lived next to the teacher who was definitely the smartest in the school, because", because,-4.403334617614746,"[('John', -7.889672756195068), (' lived', -11.289875030517578), (' next', -4.7812347412109375), (' to', -1.5050965547561646), (' the', -1.6066197156906128), (' teacher', -8.447361946105957), (' who', -2.4540927410125732), (' was', -1.7900060415267944), (' definitely', -9.918957710266113), (' the', -1.9861372709274292), (' smart', -3.114521026611328), ('est', -0.03493843972682953), (' in', -1.9193811416625977), (' the', -0.5449423789978027), (' school', -2.109391450881958), (',', -2.3379430770874023), (' because', -4.403334617614746)]"
7,2,stare,IC,nonexp,John stared at the teacher who was definitely the smartest in the school,"John stared at the teacher who was definitely the smartest in the school, and", and,-1.636802315711975,"[('John', -7.889672756195068), (' stared', -11.893251419067383), (' at', -0.5768428444862366), (' the', -0.4854927062988281), (' teacher', -8.967260360717773), (' who', -2.8586935997009277), (' was', -1.0329402685165405), (' definitely', -9.917823791503906), (' the', -2.9168777465820312), (' smart', -3.843080520629883), ('est', -0.027082987129688263), (' in', -2.191784620285034), (' the', -0.3376246392726898), (' school', -3.2423653602600098), (',', -1.9725337028503418), (' and', -1.636802315711975)]"
8,2,live,nonIC,nonexp,John lived next to the teacher who was definitely the smartest in the school,"John lived next to the teacher who was definitely the smartest in the school, and", and,-1.1865224838256836,"[('John', -7.889672756195068), (' lived', -11.289875030517578), (' next', -4.7812347412109375), (' to', -1.5050965547561646), (' the', -1.6066197156906128), (' teacher', -8.447361946105957), (' who', -2.4540927410125732), (' was', -1.7900060415267944), (' definitely', -9.918957710266113), (' the', -1.9861372709274292), (' smart', -3.114521026611328), ('est', -0.03493843972682953), (' in', -1.9193811416625977), (' the', -0.5449423789978027), (' school', -2.109391450881958), (',', -2.3379430770874023), (' and', -1.1865224838256836)]"
9,3,assist,IC,exp,Jenny assisted the maid who was regularly late to work,"Jenny assisted the maid who was regularly late to work, because", because,-3.8190221786499023,"[('J', -6.658449649810791), ('enny', -4.616943359375), (' assisted', -12.1974515914917), (' the', -1.9893341064453125), (' maid', -11.923660278320312), (' who', -3.7435901165008545), (' was', -0.9738982915878296), (' regularly', -9.625938415527344), (' late', -5.345071792602539), (' to', -2.204667568206787), (' work', -1.039322853088379), (',', -1.8809839487075806), (' because', -3.8190221786499023)]"
10,3,joke,nonIC,exp,Jenny joked with the maid who was regularly late to work,"Jenny joked with the maid who was regularly late to work, because", because,-4.146681785583496,"[('J', -6.658449649810791), ('enny', -4.616943359375), (' joked', -13.422523498535156), (' with', -2.4162235260009766), (' the', -2.0464134216308594), (' maid', -8.93535327911377), (' who', -3.097846269607544), (' was', -1.4820122718811035), (' regularly', -9.66789436340332), (' late', -6.7389678955078125), (' to', -2.1903553009033203), (' work', -1.0958971977233887), (',', -1.5138622522354126), (' because', -4.146681785583496)]"
